"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"161";202404;2;29;291840;"A";133410;1;621005;101;"5ª Completo Fundamental";25;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"162";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";24;"44";3;"Feminino";0;1;97;0;0;0;"1450";6;0
"163";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";21;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"164";202404;2;29;291840;"A";132600;1;622515;101;"Até 5ª Incompleto";47;"44";3;"Masculino";0;1;97;0;0;0;"1450";10;0
"165";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";32;"44";3;"Feminino";0;1;97;0;0;0;"1450";6;0
"166";202404;2;26;261110;"A";132600;1;622505;101;"Até 5ª Incompleto";40;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"167";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";40;"44";3;"Feminino";0;1;97;0;0;0;"1450";10;0
"168";202404;2;29;290720;"A";132600;1;622515;101;"6ª a 9ª Fundamental";28;"48";3;"Feminino";0;1;97;0;0;0;"1450";8;0
"169";202404;2;26;261110;"A";132600;1;643005;101;"Fundamental Completo";21;"48";1;"Masculino";2;3;97;0;0;0;"1450";5;0
"170";202404;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";28;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"171";202404;2;29;290990;"A";132600;1;621005;101;"Médio Completo";49;"44";1;"Feminino";2;3;97;0;0;0;"1450";4;0
"172";202404;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";27;"44";3;"Feminino";2;3;97;0;0;0;"1450";1;0
"173";202404;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";22;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"174";202404;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";18;"48";1;"Masculino";0;1;97;0;0;0;"1450";8;0
"175";202404;2;29;291840;"A";132600;1;621005;101;"Médio Completo";20;"44";2;"Masculino";0;1;97;0;0;0;"1450";8;0
"176";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";36;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"177";202404;2;29;290720;"A";133410;1;622515;101;"Médio Completo";40;"48";3;"Feminino";0;1;97;0;0;0;"1450";7;0
"178";202404;2;29;291840;"A";132600;1;621005;101;"Médio Completo";36;"44";2;"Feminino";0;1;97;0;0;0;"1450";8;0
"179";202404;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";36;"44";6;"Feminino";0;1;97;0;0;0;"1450";10;0
"180";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";35;"44";3;"Feminino";2;3;97;0;0;0;"1450";1;0
"181";202404;2;26;261110;"A";132600;1;622515;101;"Médio Incompleto";25;"44";1;"Feminino";2;3;97;0;0;0;"1450";5;0
"182";202404;2;29;291840;"A";132600;1;622305;101;"Médio Completo";18;"48";1;"Masculino";0;1;97;0;0;0;"1450";2;0
"183";202404;2;29;290720;"A";133410;1;622515;101;"Médio Completo";21;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"184";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";40;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"185";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";18;"44";3;"Masculino";0;1;97;0;0;0;"1450";10;0
"186";202404;2;29;290720;"A";133410;1;622505;101;"5ª Completo Fundamental";35;"44";3;"Feminino";0;1;97;0;0;0;"1450";8;0
"187";202404;2;29;290720;"A";133410;1;622505;101;"6ª a 9ª Fundamental";22;"48";3;"Masculino";0;1;97;0;0;0;"1450";7;0
"188";202404;2;26;261110;"A";133410;1;621005;101;"Médio Completo";25;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"189";202404;2;29;290720;"A";133410;1;622515;101;"Médio Completo";33;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
