"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"94";202304;2;29;291840;"A";132600;1;622515;101;"Médio Completo";30;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"95";202304;2;29;290720;"A";132600;1;622515;101;"Até 5ª Incompleto";43;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";8;0
"96";202304;2;26;261110;"A";132600;1;621005;101;"Até 5ª Incompleto";45;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"97";202304;2;29;290990;"A";132600;1;621005;101;"Até 5ª Incompleto";40;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"98";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";34;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"99";202304;2;26;261110;"A";132600;1;643010;101;"Médio Completo";18;"48,00";3;"Masculino";2;3;97;0;0;0;"1349,39";3;0
"100";202304;2;29;290720;"A";132600;1;622505;101;"Médio Completo";33;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"101";202304;2;29;291840;"A";132600;1;411005;103;"Fundamental Completo";18;"20,00";1;"Masculino";2;3;97;0;0;0;"5,92";7;1
"102";202304;2;26;261110;"A";132600;1;622515;101;"Médio Incompleto";45;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"103";202304;2;29;290720;"A";132600;1;622515;101;"Médio Completo";26;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";8;0
"104";202304;2;26;261110;"A";132600;1;622505;101;"5ª Completo Fundamental";50;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"105";202304;2;29;290720;"A";132600;1;622515;101;"Médio Incompleto";18;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"106";202304;2;26;260875;"A";132600;1;622515;101;"6ª a 9ª Fundamental";38;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"107";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";23;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"108";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";25;"48,00";6;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"109";202304;2;26;260875;"A";132600;1;622505;101;"Médio Completo";25;"44,00";6;"Feminino";0;1;97;0;0;0;"1302,00";6;0
"110";202304;2;29;291840;"A";132600;1;621005;101;"Médio Incompleto";30;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";8;0
"111";202304;2;26;260875;"A";132600;1;622515;101;"Médio Completo";25;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"112";202304;2;29;290720;"A";132600;1;622515;101;"Médio Completo";31;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";8;0
"113";202304;2;29;290720;"A";132600;1;621005;101;"Médio Completo";27;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"114";202304;2;26;261110;"A";132600;1;391210;101;"Fundamental Completo";26;"44,00";1;"Masculino";0;1;97;0;0;0;"1500,00";7;0
"115";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";36;"44,00";6;"Feminino";0;1;97;0;0;0;"1302,00";5;0
"116";202304;2;26;261110;"A";132600;1;622505;101;"Médio Incompleto";58;"44,00";6;"Masculino";0;1;97;0;0;0;"1302,00";8;0
"117";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";31;"48,00";1;"Masculino";2;3;97;0;0;0;"1302,00";7;0
"118";202304;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";53;"44,00";2;"Feminino";2;3;97;0;0;0;"1302,00";6;0
"119";202304;2;26;261110;"A";132600;1;620105;101;"Fundamental Completo";39;"48,00";1;"Masculino";2;3;97;0;0;0;"1562,40";7;0
"120";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";21;"48,00";1;"Masculino";2;3;97;0;0;0;"1302,00";7;0
"121";202304;2;29;291840;"A";132600;1;622515;101;"Médio Completo";31;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"122";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";31;"48,00";1;"Masculino";2;3;97;0;0;0;"1302,00";4;0
"123";202304;2;29;291840;"A";132600;1;622515;101;"Médio Incompleto";31;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"124";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";31;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"125";202304;2;26;261110;"A";132600;1;622515;101;"Médio Incompleto";24;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"126";202304;2;29;291840;"A";132600;1;411005;103;"Fundamental Completo";18;"20,00";1;"Masculino";2;3;97;0;0;0;"551,00";7;1
"127";202304;2;29;291840;"A";132600;1;622515;101;"Médio Incompleto";33;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"128";202304;2;29;290720;"A";132600;1;622515;101;"Médio Completo";22;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"129";202304;2;29;290720;"A";132600;1;621005;101;"Médio Incompleto";18;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"130";202304;2;29;291840;"A";132600;1;622515;101;"Médio Completo";24;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"131";202304;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";37;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"132";202304;2;29;290720;"A";132600;1;622515;101;"Médio Completo";28;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";8;0
"133";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";21;"48,00";6;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"134";202304;2;29;290720;"A";132600;1;621005;101;"Médio Completo";25;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"135";202304;2;29;291840;"A";132600;1;622515;101;"Até 5ª Incompleto";48;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"136";202304;2;26;261110;"A";132600;1;622505;101;"Médio Incompleto";38;"44,00";1;"Feminino";2;3;35;0;0;0;"1302,00";7;0
"137";202304;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";29;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"138";202304;2;26;261110;"A";132600;1;622515;101;"Fundamental Completo";39;"44,00";6;"Masculino";0;1;97;0;0;0;"1302,00";6;0
"139";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";44;"48,00";6;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"140";202304;2;29;290720;"A";132600;1;621005;101;"Médio Incompleto";20;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";9;0
"141";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";37;"48,00";6;"Feminino";0;1;97;0;0;0;"1302,00";7;0
"142";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";20;"48,00";6;"Feminino";0;1;97;0;0;0;"1302,00";9;0
"143";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";38;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"144";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";21;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"145";202304;2;29;290720;"A";132600;1;622515;103;"Médio Completo";20;"20,00";3;"Feminino";0;1;97;0;0;0;"651,00";7;1
"146";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";44;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";2;0
"147";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";38;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"148";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";22;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"149";202304;2;29;291840;"A";132600;1;724205;101;"6ª a 9ª Fundamental";40;"44,00";3;"Masculino";0;1;97;0;0;0;"3600,00";10;0
"150";202304;2;26;261110;"A";132600;1;622505;101;"Analfabeto";44;"44,00";2;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"151";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";40;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";6;0
